Results of soil water balance simulation:
                                                                                                         Soil
                                                                         Pot.  Actual  Actual    Soil   Water          Excess
  Day   Solar     Max     Min                                          Evapo-    Soil   Plant   Water Content Drought   Water
   of    Rad.    Temp    Temp    Rain   Irrig  Runoff   Infil   Drain   Trans   Evap.  Trans. content   (mm3/  Stress  Stress
 Year (MJ/m2)    (oC)    (oC)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    mm3)  Factor  Factor
   67    16.3    23.9    16.7    4.10    0.00    0.00    4.10    4.83    3.98    3.95    0.04  290.06   2.000   1.000   1.000
   68     9.3    20.0    13.3    0.80    0.00    0.00    0.80    4.36    2.10    2.08    0.02  284.40   1.961   1.000   1.000
   69    19.2    24.4    10.6    0.00    0.00    0.00    0.00    3.79    4.49    4.45    0.04  276.12   1.904   1.000   1.000
   70    11.6    22.8     8.9    0.00    0.00    0.00    0.00    2.96    2.62    2.60    0.02  270.54   1.866   1.000   1.000
   71    10.9    15.6     7.8    0.00    0.00    0.00    0.00    2.40    2.21    2.19    0.02  265.93   1.834   1.000   1.000
   72    21.5    15.0     3.3    0.00    0.00    0.00    0.00    1.94    4.13    4.09    0.04  259.86   1.792   1.000   1.000
   73    21.8    22.2     1.7    0.00    0.00    0.00    0.00    1.34    4.58    4.54    0.04  253.95   1.751   1.000   1.000
   74    18.9    24.4     5.6    0.00    0.00    0.00    0.00    0.74    4.23    4.20    0.04  248.97   1.717   1.000   1.000
   75    21.0    25.6     7.8    0.00    0.00    0.00    0.00    0.25    4.87    4.82    0.04  243.85   1.682   1.000   1.000
   76    19.5    25.0    10.0    0.00    0.00    0.00    0.00    0.00    4.57    4.45    0.04  239.36   1.651   1.000   1.000
   77     7.1    23.9    12.8    0.00    0.00    0.00    0.00    0.00    1.68    1.59    0.02  237.75   1.640   1.000   1.000
   78    19.2    26.7    16.7    3.00    0.00    0.00    3.00    0.00    4.85    4.54    0.04  236.17   1.629   1.000   1.000
   79    16.3    22.2    11.1    0.00    0.00    0.00    0.00    0.00    3.72    3.45    0.03  232.69   1.605   1.000   1.000
   80    22.3    26.1     5.0    0.00    0.00    0.00    0.00    0.00    5.08    4.60    0.05  228.04   1.573   1.000   1.000
   81    17.1    27.8    10.0    0.00    0.00    0.00    0.00    0.00    4.15    3.63    0.04  224.37   1.547   1.000   1.000
   82    17.4    26.1    12.2    0.00    0.00    0.00    0.00    0.00    4.21    3.59    0.04  220.74   1.522   1.000   1.000
   83    11.9    25.6    14.4    0.00    0.00    0.00    0.00    0.00    2.91    2.42    0.03  218.29   1.505   1.000   1.000
   84    10.4    28.3    20.0    0.00    0.00    0.00    0.00    0.00    2.74    2.24    0.02  216.03   1.490   1.000   1.000
   85     3.3    28.3    20.6    3.80    0.00    0.00    3.80    0.00    0.87    0.70    0.01  219.12   1.511   1.000   1.000
   86     2.7    22.8    18.9   20.60    0.00    0.00   20.60    0.00    0.66    0.54    0.01  239.17   1.649   1.000   1.000
   87     7.9    27.2    18.9   83.30    0.00    6.98   76.32    0.00    2.04    1.93    0.02  313.55   2.162   1.000   1.000
   88     7.0    26.7    19.4   13.70    0.00    0.00   13.70    6.70    1.80    1.79    0.02  318.74   2.198   1.000   1.000
   89     2.8    20.6    15.6   42.70    0.00    0.01   42.69    7.22    0.65    0.64    0.01  353.56   2.438   1.000   1.000
   90    17.3    17.8     6.7   14.20    0.00    0.00   14.20   10.71    3.58    3.55    0.03  353.47   2.438   1.000   1.000
   91    25.5    16.1     0.0    0.00    0.00    0.00    0.00   10.70    4.81    4.77    0.04  337.96   2.331   1.000   1.000
   92    24.5    20.6     2.2    0.00    0.00    0.00    0.00    9.15    5.05    5.01    0.05  323.76   2.233   1.000   1.000
   93    13.0    22.8     5.0    4.60    0.00    0.00    4.60    7.73    2.84    2.81    0.03  317.80   2.192   1.000   1.000
   94    26.5    21.7     2.2    1.00    0.00    0.00    1.00    7.13    5.55    5.50    0.05  306.12   2.111   1.000   1.000
   95    26.1    17.8    -1.7    0.00    0.00    0.00    0.00    5.96    4.97    4.93    0.05  295.19   2.036   1.000   1.000
   96    24.8    21.7     2.2    0.00    0.00    0.00    0.00    4.87    5.20    5.15    0.05  285.12   1.966   1.000   1.000
   97    22.2    23.3    10.6    0.00    0.00    0.00    0.00    3.86    5.12    5.07    0.05  276.14   1.904   1.000   1.000
   98    21.5    23.3     8.3    0.00    0.00    0.00    0.00    2.96    4.86    4.82    0.04  268.32   1.850   1.000   1.000
   99    20.0    25.0     8.3    0.00    0.00    0.00    0.00    2.18    4.62    4.58    0.04  261.51   1.804   1.000   1.000
  100    21.4    26.7     8.3    0.00    0.00    0.00    0.00    1.50    5.05    5.01    0.05  254.96   1.758   1.000   1.000
  101    24.9    26.7    10.6    0.00    0.00    0.00    0.00    0.85    5.99    5.94    0.05  248.13   1.711   1.000   1.000
  102    25.5    27.8    10.6    0.00    0.00    0.00    0.00    0.16    6.22    6.16    0.06  241.75   1.667   1.000   1.000
  103    24.3    30.0    11.1    0.00    0.00    0.00    0.00    0.00    6.10    5.87    0.06  235.82   1.626   1.000   1.000
